Image ID,set 3_mRNA total molecules,erm 1_mRNA total molecules,Image_ID,subdirectory
220914_permed_wNT002_0uM_Noco_09,1457,3201,total_mRNA_counts_220914_permed_wNT002_0uM_Noco_09.csv,0uM_nocodazole_total_abundance
220914_permed_wNT002_0uM_Noco_11,2909,2320,total_mRNA_counts_220914_permed_wNT002_0uM_Noco_11.csv,0uM_nocodazole_total_abundance
220914_permed_wNT002_0uM_Noco_12,1400,3024,total_mRNA_counts_220914_permed_wNT002_0uM_Noco_12.csv,0uM_nocodazole_total_abundance
220914_permed_wNT002_0uM_Noco_14,4067,1876,total_mRNA_counts_220914_permed_wNT002_0uM_Noco_14.csv,0uM_nocodazole_total_abundance
220914_permed_wNT002_0uM_Noco_15,1226,3005,total_mRNA_counts_220914_permed_wNT002_0uM_Noco_15.csv,0uM_nocodazole_total_abundance
220914_permed_wNT002_0uM_Noco_16,1232,2444,total_mRNA_counts_220914_permed_wNT002_0uM_Noco_16.csv,0uM_nocodazole_total_abundance
220914_permed_wNT002_0uM_Noco_19,737,3817,total_mRNA_counts_220914_permed_wNT002_0uM_Noco_19.csv,0uM_nocodazole_total_abundance
220914_permed_wNT002_0uM_Noco_20,692,2362,total_mRNA_counts_220914_permed_wNT002_0uM_Noco_20.csv,0uM_nocodazole_total_abundance
220914_permed_wNT002_0uM_Noco_21,1290,4017,total_mRNA_counts_220914_permed_wNT002_0uM_Noco_21.csv,0uM_nocodazole_total_abundance
220914_permed_wNT002_0uM_Noco_22,795,2103,total_mRNA_counts_220914_permed_wNT002_0uM_Noco_22.csv,0uM_nocodazole_total_abundance
231112_wNT002_0uM_noco_01,2444,5540,total_mRNA_counts_231112_wNT002_0uM_noco_01.csv,0uM_nocodazole_total_abundance
231112_wNT002_0uM_noco_03,1174,2261,total_mRNA_counts_231112_wNT002_0uM_noco_03.csv,0uM_nocodazole_total_abundance
231112_wNT002_0uM_noco_04,8989,7455,total_mRNA_counts_231112_wNT002_0uM_noco_04.csv,0uM_nocodazole_total_abundance
231112_wNT002_0uM_noco_05,2741,9785,total_mRNA_counts_231112_wNT002_0uM_noco_05.csv,0uM_nocodazole_total_abundance
220914_permed_wNT002_150uM_Noco_23,3675,4367,total_mRNA_counts_220914_permed_wNT002_150uM_Noco_23.csv,150uM_nocodazole_total_abundance
220914_permed_wNT002_150uM_Noco_24,1443,4511,total_mRNA_counts_220914_permed_wNT002_150uM_Noco_24.csv,150uM_nocodazole_total_abundance
220914_permed_wNT002_150uM_Noco_25,1031,2285,total_mRNA_counts_220914_permed_wNT002_150uM_Noco_25.csv,150uM_nocodazole_total_abundance
220914_permed_wNT002_150uMNoco_02,915,2829,total_mRNA_counts_220914_permed_wNT002_150uMNoco_02.csv,150uM_nocodazole_total_abundance
220914_permed_wNT002_150uMNoco_03,7073,1049,total_mRNA_counts_220914_permed_wNT002_150uMNoco_03.csv,150uM_nocodazole_total_abundance
220914_permed_wNT002_150uMNoco_05,578,3002,total_mRNA_counts_220914_permed_wNT002_150uMNoco_05.csv,150uM_nocodazole_total_abundance
220914_permed_wNT002_150uMNoco_06,4589,2729,total_mRNA_counts_220914_permed_wNT002_150uMNoco_06.csv,150uM_nocodazole_total_abundance
220914_permed_wNT002_150uMNoco_07,1264,2243,total_mRNA_counts_220914_permed_wNT002_150uMNoco_07.csv,150uM_nocodazole_total_abundance
231112_wNT002_150uM_noco_04,1590,3670,total_mRNA_counts_231112_wNT002_150uM_noco_04.csv,150uM_nocodazole_total_abundance
231112_wNT002_150uM_noco_06,12129,2726,total_mRNA_counts_231112_wNT002_150uM_noco_06.csv,150uM_nocodazole_total_abundance
231112_wNT002_150uM_noco_07,1180,2285,total_mRNA_counts_231112_wNT002_150uM_noco_07.csv,150uM_nocodazole_total_abundance
231112_wNT002_150uM_noco_08,1825,5093,total_mRNA_counts_231112_wNT002_150uM_noco_08.csv,150uM_nocodazole_total_abundance
